service_date,day_type,bus,rail_boardings,total_rides
2019-09-01,U,379610,357032,736642
2019-09-02,U,374967,328376,703343
2019-09-03,W,821674,738399,1560073
2019-09-04,W,861286,762868,1624154
2019-09-05,W,853186,800432,1653618
2019-09-06,W,821645,744323,1565968
2019-09-07,A,486423,420502,906925
2019-09-08,U,344385,310823,655208
2019-09-09,W,829266,737160,1566426
2019-09-10,W,856513,769458,1625971
2019-09-11,W,848169,777407,1625576
2019-09-12,W,845028,795224,1640252
2019-09-13,W,822197,800812,1623009
2019-09-14,A,498571,487396,985967
2019-09-15,U,353264,352467,705731
2019-09-16,W,825739,777685,1603424
2019-09-17,W,856186,797063,1653249
2019-09-18,W,859904,807081,1666985
2019-09-19,W,845624,816086,1661710
2019-09-20,W,830757,803291,1634048
2019-09-21,A,489155,440464,929619
2019-09-22,U,338418,299658,638076
2019-09-23,W,832762,766712,1599474
2019-09-24,W,850825,780378,1631203
2019-09-25,W,859089,781453,1640542
2019-09-26,W,853333,791418,1644751
2019-09-27,W,734962,699996,1434958
2019-09-28,A,476234,401745,877979
2019-09-29,U,358174,294350,652524
2019-09-30,W,850333,738159,1588492
2019-10-01,W,905477,772082,1677559
2019-10-02,W,844694,765652,1610346
2019-10-03,W,885919,781701,1667620
2019-10-04,W,851906,740946,1592852
2019-10-05,A,492689,388710,881399
2019-10-06,U,403747,306647,710394
2019-10-07,W,845146,748413,1593559
2019-10-08,W,868009,773805,1641814
2019-10-09,W,857532,766121,1623653
2019-10-10,W,855556,803767,1659323
2019-10-11,W,776609,762011,1538620
2019-10-12,A,480048,470284,950332
2019-10-13,U,319885,522816,842701
2019-10-14,W,666607,698402,1365009
2019-10-15,W,844826,788101,1632927
2019-10-16,W,845543,782133,1627676
2019-10-17,W,787285,790202,1577487
2019-10-18,W,762811,778466,1541277
2019-10-19,A,499700,467794,967494
2019-10-20,U,377822,340156,717978
2019-10-21,W,739027,727743,1466770
2019-10-22,W,772142,750644,1522786
2019-10-23,W,789783,791468,1581251
2019-10-24,W,790853,766559,1557412
2019-10-25,W,757907,729221,1487128
2019-10-26,A,412819,356371,769190
2019-10-27,U,390090,314740,704830
2019-10-28,W,762580,729809,1492389
2019-10-29,W,781400,752054,1533454
2019-10-30,W,733054,721966,1455020
2019-10-31,W,698934,693962,1392896
2019-11-01,W,798542,719267,1517809
2019-11-02,A,467877,381954,849831
2019-11-03,U,356367,310621,666988
2019-11-04,W,848867,749735,1598602
2019-11-05,W,855055,769233,1624288
2019-11-06,W,840399,762015,1602414
2019-11-07,W,821063,768460,1589523
2019-11-08,W,718820,702518,1421338
2019-11-09,A,479816,386355,866171
2019-11-10,U,353042,292170,645212
2019-11-11,W,590714,604475,1195189
2019-11-12,W,756604,724448,1481052
2019-11-13,W,762247,729140,1491387
2019-11-14,W,764328,745044,1509372
2019-11-15,W,794430,732607,1527037
2019-11-16,A,467987,398924,866911
2019-11-17,U,340985,280372,621357
2019-11-18,W,807951,731335,1539286
2019-11-19,W,822152,755257,1577409
2019-11-20,W,839934,756096,1596030
2019-11-21,W,790016,752762,1542778
2019-11-22,W,817445,782838,1600283
2019-11-23,A,468337,443394,911731
2019-11-24,U,358133,301849,659982
2019-11-25,W,810928,721624,1532552
2019-11-26,W,791651,707015,1498666
2019-11-27,W,669245,576379,1245624
2019-11-28,U,244233,186732,430965
2019-11-29,W,480801,373012,853813
2019-11-30,A,386439,302733,689172
2019-12-01,U,315646,257317,572963
2019-12-02,W,803894,702424,1506318
2019-12-03,W,849440,732651,1582091
2019-12-04,W,837738,739104,1576842
2019-12-05,W,833516,761399,1594915
2019-12-06,W,799551,729231,1528782
2019-12-07,A,472207,404394,876601
2019-12-08,U,347917,286023,633940
2019-12-09,W,786431,690443,1476874
2019-12-10,W,770888,697269,1468157
2019-12-11,W,753922,692730,1446652
2019-12-12,W,787393,716707,1504100
2019-12-13,W,788504,704438,1492942
2019-12-14,A,471203,367508,838711
2019-12-15,U,348516,255659,604175
2019-12-16,W,743694,648766,1392460
2019-12-17,W,765207,678194,1443401
2019-12-18,W,734493,658439,1392932
2019-12-19,W,745959,664554,1410513
2019-12-20,W,731997,640236,1372233
2019-12-21,A,454167,356991,811158
2019-12-22,U,350959,283094,634053
2019-12-23,W,601685,501524,1103209
2019-12-24,W,462098,310604,772702
2019-12-25,U,200121,133009,333130
2019-12-26,W,517911,402948,920859
2019-12-27,W,552198,445835,998033
2019-12-28,A,394869,298646,693515
2019-12-29,U,315428,251105,566533
2019-12-30,W,544713,480721,1025434
2019-12-31,W,511289,431677,942966
2020-01-01,U,267300,255759,523059
2020-01-02,W,651421,565139,1216560
2020-01-03,W,688165,578202,1266367
2020-01-04,A,409243,306656,715899
2020-01-05,U,314424,234155,548579
2020-01-06,W,750349,659521,1409870
2020-01-07,W,775765,677497,1453262
2020-01-08,W,744261,665227,1409488
2020-01-09,W,758063,679244,1437307
2020-01-10,W,753866,654344,1408210
2020-01-11,A,345787,281493,627280
2020-01-12,U,294457,237736,532193
2020-01-13,W,775861,699927,1475788
2020-01-14,W,807239,720277,1527516
2020-01-15,W,794821,720057,1514878
2020-01-16,W,774375,715978,1490353
2020-01-17,W,737073,687789,1424862
2020-01-18,A,371460,319878,691338
2020-01-19,U,256029,219005,475034
2020-01-20,W,477995,410324,888319
2020-01-21,W,789718,712386,1502104
2020-01-22,W,794213,715399,1509612
2020-01-23,W,768601,717469,1486070
2020-01-24,W,745526,677320,1422846
2020-01-25,A,408051,320905,728956
2020-01-26,U,318824,241153,559977
2020-01-27,W,790014,697371,1487385
2020-01-28,W,802484,715500,1517984
2020-01-29,W,793740,711177,1504917
